x,y,place,size,update,startdate,enddate,title,url
-8.2499,42.37657,Avión,52,2011/03/07,2011/03/05,2011/03/06,Dos incendios calcinan 74 hectáreas el fin de semana,http://www.laregion.es/noticia/145578/incendios/calcinan/hectareas/semana/
-8.1013,42.13924,Quintela de Leirado,22,2011/03/07,2011/03/06,2011/03/06,Dos incendios calcinan 74 hectáreas el fin de semana,http://www.laregion.es/noticia/145578/incendios/calcinan/hectareas/semana/
3.48159,43.99156,Arrigas,4,2011/03/06,2011/03/05,2011/03/05,"À Arrigas, la forêt sous la menace d'un feu",http://www.midilibre.com/articles/2011/03/06/NIMES-A-Arrigas-la-foret-sous-la-menace-d-39-un-feu-1557923.php5
6.1672,44.96038,Vénéon,9,2011/03/06,2011/03/06,2011/03/06,Isère Spectaculaire incendie dans la vallée du Vénéon,http://www.ledauphine.com/isere-sud/2011/03/06/isere-spectaculaire-incendie-dans-la-vallee-du-veneon
3.6061,44.3435,Bédouès,120,2011/03/08,2011/03/07,2011/03/07,Lozère : plus de 120 hectares partis en fumée,http://www.radio-totem.net/actualite/journal/lozere/article-38571-lozere-plus-de-120-hectares-partis-en-fumee/?page%3D%26filtre%3Dall
-8.0278,41.9779,Lobeira,93,2011/03/10,2011/03/07,2011/03/09,Extinguido un incendio forestal en Lobeira que arrasó 93 hectáreas en trece horas,http://www.farodevigo.es/portada-ourense/2011/03/10/extinguido-incendio-forestal-lobeira-arraso-93-hectareas-trece-horas/525577.html
13.45897,42.39587,Aragno,10,2011/03/10,2011/03/10,2011/03/10,"L'Aquila, dieci ettari di boscaglia in fumo ",http://www.pagineabruzzo.it/notizie/news/L%27Aquila/37578/L_aquila_dieci_ettari_di_boscaglia_in_fumo.html
23.264236,41.952086,Bansko,2500,2011/04/10,2011/04/10,2011/04/11,"2500 ha of pine forest burned in a large wildfire between the villages of visits and Osenovo, Bansko Municipality",http://www.mediapool.bg/show/?storyid%3D178161
-0.302467,38.930571,Benicolet,1480,2011/04/11,2011/04/08,2011/04/11,Forest fire under control after destroying 1480 hectares Benicolet,http://www.abc.es/agencias/noticia.asp%3Fnoticia%3D778936&usg=ALkJrhjwIqGeK6dqBTfjxuyMExxyIEMFmQ
-7.946956,42.105116,Ourense Verea,60,2011/04/16,2011/04/15,2011/04/16,"Controlado el incendio forestal registrado en Verea (Ourense), que afecta a 60 hectáreas",http://www.ygalicia.com/controlado-el-incendio-forestal-registrado-en-verea-ourense-que-afecta-a-60-hectareas/
-8.253865,42.696898,Silleda,25,2011/04/18,2011/04/17,2011/04/18,"Controlado un incendio forestal en Silleda (Pontevedra), que afecta a unas 25 hectáreas",http://www.ygalicia.com/controlado-un-incendio-forestal-en-silleda-pontevedra-que-afecta-a-unas-25-hectareas/
15.928717,43.821276,Skradin,20,2011/04/21,2011/04/19,2011/04/20,Nastavljeno gašenje požara kod Skradina,http://dnevnik.hr/vijesti/hrvatska/nastavljeno-gasenje-pozara-kod-skradina.html
-7.116609,42.185253,Viana do Bolo,80,2011/04/20,2011/04/17,2011/04/18,Dos nuevos fuegos forestales en Bande y Viana do Bolo arrasan 80 hectáreas de monte,http://www.lavozdegalicia.es/ourense/2011/04/19/0003_201104O19C69913.htm
-7.975645,42.037883,Bande,12,2011/04/20,2011/04/17,2011/04/18,Dos nuevos fuegos forestales en Bande y Viana do Bolo arrasan 80 hectáreas de monte,http://www.lavozdegalicia.es/ourense/2011/04/19/0003_201104O19C69913.htm
0.710807,45.211159,Perigueux,130,2011/04/14,2011/04/13,2011/04/14,130 hectares of forest destroyed by fire in Dordogne,http://www.latribune.fr/depeches/reuters/130-hectares-de-foret-detruits-par-un-incendie-en-dordogne.html
4.268231,44.867732,Saint Martial,50,2011/04/17,2011/04/15,2011/04/17,Incendie à Saint-Martial,http://rhone-alpes.france3.fr/info/incendie-a-saint-martial--68437375.html
2.018223,45.42707,Correze,25,2011/04/15,2011/04/15,2011/04/15,Important feu de forêt ce matin en Corrèze,http://www.lamontagne.fr/editions_locales/tulle/important_feu_de_foret_ce_matin_en_correze@CARGNjFdJSsBEBkEBRo-.html
9.737062,45.983425,Isola di Fondra,15,2011/04/14,2011/04/08,2011/04/14,"Isola di Fondra, boschi in fumo. L'incendio é durato due giorni",http://www.ecodibergamo.it/stories/Cronaca/410883/
10.145917,45.824194,Fane di Piancamuno,20,2011/04/10,2011/04/09,2011/04/10,"Piancamuno, piromani contro il bosco",http://www.bresciaoggi.it/stories/Home/243020_piancamuno_piromani_contro_il_bosco/
10.331612,45.68016,Bione,20,2011/04/11,2011/04/10,2011/04/11,"Bione, altri venti ettari in fumo, anche stavolta il rogo è doloso",http://www.bresciaoggi.it/stories/Home/243339_bione_altri_venti_ettari_in_fumoanche_stavolta_il_rogo__doloso/
8.990507,46.133783,Isone,,2011/04/17,2011/04/17,2011/04/17,"Incendio boschivo, tutto è partito da due escursionisti ",http://www.tio.ch/aa_pagine_comuni/articolo_interna.asp?idarticolo=629843&idsezione=1&idsito=1&idtipo=3
9.36018,46.103471,Lecco,10,2011/04/20,2011/04/20,2011/04/20,Incendio a Lecco nella pineta di Sommafiume e sul monte Legnoncino,http://www.cronacalive.it/incendio-a-lecco-nella-pineta-di-sommafiume-e-sul-monte-legnoncino.html
0.054417,47.748529,Sarthe,15,2011/04/21,2011/04/20,2011/04/20,Feu de forêt dans la Sarthe: 30 ha brûlés,http://www.lefigaro.fr/flash-actu/2011/04/20/97001-20110420FILWWW00639-feu-de-foret-dans-la-sarthe-30-ha-brules.php
23.691995,41.797128,Gostun,16,2011/04/26,2011/04/21,2011/04/21,Нов пожар грай село Гостун в Родопите,http://www.mediapool.bg/show/?storyid=178644
4.63902,52.668237,Bergen aan Zee,100,2011/04/26,2011/04/25,2011/04/26,Hollanda yanıyor! ,http://www.sonhaber.nl/index.php?option%3Dcom_content%26view%3Darticle%26id%3D7926:hollanda-yanyor%26catid%3D36:gundem%26Itemid%3D48
10.098152,45.754828,Marone,10,2011/04/26,2011/04/21,2011/04/23,"Marone, bruciati ettari di bosco",http://www.quibrescia.it/index.php?/content/view/25255/1/
6.065655,50.636724,Eupen,1300,2011/05/02,2011/04/25,2011/04/27,Un violent incendie ravage la foret belge,http://www.lessentiel.lu/fr/news/grande_region/story/31674494
26.099052,38.364272,Μονοδέντρι,20,2011/04/26,2011/04/24,2011/04/24,"Σοβαρή πυρκαγιά στο Μονοδέντρι, κινδύνεψε το δασάκι",http://www.chiosnews.com/cn24420111047550.asp
7.892475,46.285631,Visp,100,2011/05/17,2011/04/26,2011/05/01,Large forest fire continues to burn,http://www.swissinfo.ch/eng/swiss_news/Large_forest_fire_continues_to_burn.html?cid=30090660
7.892475,46.285631,Visp,100,2011/05/17,2011/04/26,2011/05/01,Incendie de forêt à Viège: l'armée met un terme à son engagement ,http://www.24heures.ch/depeches/suisse/incendie-foret-viege-armee-met-terme-engagement
-8.054609,43.321868,Monfero,72,2011/04/28,2011/04/26,2011/04/27,Controlado un incendio forestal en Monfero (A Coruña) que afecta a 72 hectáreas,http://www.20minutos.es/noticia/1031471/0/
12.800102,57.39219,Öxabäck,40,2011/05/02,2011/04/29,2011/04/30,Stor skogsbrand utanför Kinna,http://svt.se/2.34007/1.2410138/stor_skogsbrand_utanfor_kinna&from=rss
-0.700121,51.39535,Ascot,200,2011/05/04,2011/05/03,2011/05/04,Forest fire burns in Berkshire,http://www.inthenews.co.uk/news/uk/forest-fire-burns-in-berkshire-$21386384.htm
-8.116236,54.664946,Donegal,,2011/05/02,2011/04/30,2011/05/02,"Forest fires continue to sweep through Donegal, Mayo and Galway",http://www.irishtimes.com/newspaper/ireland/2011/0502/1224295867725.html
1.976,41.2835,Castelldefels,5.5,2010/07/15,2010/07/14,2010/07/14,Castelldefels,http://www.adn.es/tecnologia/20100714/NWS-1245-Castelldefels-desalojar-forestal-incendio-verano.html
15.6131,50.0748,Přelovice,3,2010/07/16,2010/07/14,2010/07/14,Přelovice,http://web.volny.cz/noviny/zdomova/clanek/~volny/IDC/139819/na-pardubicku-hori-lesy.html
6.6849,46.53615,Les Monts de Pully,,2010/07/16,2010/07/16,2010/07/16,Les Monts de Pully,http://www.blick.ch/news/schweiz/westschweiz/waldbrand-bei-lausanne-151293
-0.9929,37.6138,Cartagena,13,2010/07/16,2010/07/15,2010/07/15,Cartagena,http://www.abc.es/agencias/noticia.asp?noticia%3D454211
-3.5411,38.3526,Santa Elena,32,2010/07/16,2010/07/15,2010/07/15,Santa Elena,http://www.europapress.es/andalucia/noticia-controlado-incendio-despenaperros-asolar-32-hectareas-andalucia-otras-mas-mancha-20100715221315.html
-4.5662,34.9235,Ketama,5,2010/07/16,2010/07/15,2010/07/15,Ketama,http://www.casafree.com/modules/news/article.php?storyid%3D48358
5.1337,45.0731,Saint-Paul-lès-Romans,75,2010/07/16,2010/07/15,2010/07/15,Saint-Paul-lès-Romans,http://www.ledauphine.com/drome/2010/07/14/soixante-quinze-hectares-partent-en-fumee
5.49401,45.30938,Fures,5,2010/07/16,2010/07/15,2010/07/15,Fures,http://www.ledauphine.com/actualite/2010/07/15/1-5-hectares-de-foret-partent-en-fumee-a-tullins-fures
-1.796,47.9737,Guichen,8.5,2010/07/16,2010/07/15,2010/07/15,Guichen,http://www.ouest-france.fr/ofdernmin_-Incendie-a-Guichen-8-5-hectares-de-cereales-et-d%25E2%2580%2599herbes-seches-detruits_42314-1446855-pere-bre_filDMA.Htm
33.30774,34.8739,Lefkara,2,2010/07/16,2010/07/15,2010/07/15,Lefkara,http://www.ikypros.com/cgibin/hweb?-A%3D83607%26-V%3Dikypros%26w%3D
13.49459,42.39134,Camarda,,2010/07/15,2010/07/15,2010/07/15,Camarda,http://www.abruzzo24ore.tv/news/Incendio-a-Camarda-panico-ed-ettari-di-vegetazione-in-fumo/17630.htm
7.8691,43.8693,Castellaro,2,2010/07/15,2010/07/15,2010/07/15,Castellaro,http://www.sanremonews.it/it/internal.php?news_code=124433
17.4354,40.5437,Grottaglie,10,2010/07/15,2010/07/15,2010/07/15,Grottaglie,http://corrieredelmezzogiorno.corriere.it/lecce/notizie/cronaca/2010/15-luglio-2010/caldo-torrido-paura-tarantinol-incendio-sfiora-polveriera-militare-1703386671757.shtml
16.946,40.657,Castellaneta,30,2010/07/15,2010/07/15,2010/07/15,Castellaneta,http://corrieredelmezzogiorno.corriere.it/lecce/notizie/cronaca/2010/15-luglio-2010/caldo-torrido-paura-tarantinol-incendio-sfiora-polveriera-militare-1703386671757.shtml
13.727,37.4114,Racalmuto,,2010/07/16,2010/07/15,2010/07/15,Racalmuto,http://racalmuto.agrigentonotizie.it/cronaca/incendio-doloso-racalmuto_50853.php
13.614,47.4013,Pichl,,2010/07/16,2010/07/15,2010/07/16,Pichl,http://www.krone.at/Steiermark/Waldbrand_in_Pichl_Einsatzkraefte_verhindern_Inferno-Blitz_entfacht_Feuer-Story-210334
13.0716,52.0028,Jüterbog,,2010/07/16,2010/07/15,2010/07/16,Jüterbog,http://www.bild.de/BILD/Newsticker/news-ticker/2010/07/16/11-waldbrand.html
13.9312,37.1342,Licata,,2010/07/16,2010/07/15,2010/07/15,Licata,http://racalmuto.agrigentonotizie.it/cronaca/incendio-doloso-racalmuto_50853.php
17.2656,40.4654,Taranto,,2010/07/16,2010/07/15,2010/07/15,Taranto,http://corrieredelmezzogiorno.corriere.it/napoli/notizie/cronaca/2010/15-luglio-2010/caldo-torrido-paura-tarantinol-incendio-sfiora-polveriera-militare-1703386671757.shtml
14.5383,37.7208,Gagliano Castelferrato,,2010/07/16,2010/07/15,2010/07/15,Gagliano Castelferrato,http://www.siciliaonline.it/index.php?option=com_content&task=view&id=127626&Itemid=2
17.489,59.6187,Habo,15,2010/07/14,2010/07/14,2010/07/14,Habo,http://www.jnytt.se/nyhet/33672/kraftiga-storbranden-utanfor-habo-slackt
29.6136,39.8107,Domaniç,,2010/07/15,2010/07/15,2010/07/15,Domaniç,http://www.haberler.com/kutahya-da-orman-yangini-6-2151655-haberi/
-0.3077,39.8936,Eslida,300,2010/07/18,2010/07/18,2010/07/18,Eslida,http://www.elperiodicomediterraneo.com/noticias/noticia.asp?pkid=580149
-5.588,42.1641,Villaquejida,19,2010/07/18,2010/07/17,2010/07/18,Villaquejida,http://leonoticias.com/frontend/leonoticias/Un-Incendio-Arrasa-Hasta-Diez-Hectareas-De-Pasto-Y-De-Terren-vn52408-vst218
7.1754,47.8146,Cernay,4.5,2010/07/18,2010/07/18,2010/07/18,Cernay,http://www.lalsace.fr/fr/article/3511564/Important-feu-de-sous-bois-au-Nonnenbruch.html
23.8497,38.2846,Kalamos,800,2010/07/18,2010/07/17,2010/07/18,Kalamos,http://www.enet.gr/?i%3Dnews.el.ellada%26id%3D184320
24.0476,37.72377,Lavrion,,2010/07/18,2010/07/17,2010/07/17,Lavrion,http://www.tovima.gr/default.asp?pid%3D2%26ct%3D1%26artid%3D343750
-4.028,35.2043,Al Hoceima,6,2010/07/18,2010/07/17,2010/07/18,Al Hoceima,http://www.biladi.ma/1067262-un-incendie-de-foret-izemouren-totalement-maitrise.html
14.1942,37.9314,San Mauro Castelverde,,2010/07/16,2010/07/16,2010/07/16,San Mauro Castelverde,http://www.agi.it/palermo/notizie/201007161844-cro-rt10276-incendi_il_caldo_alimenta_fiamme_in_sicilia_15_i_fronti
14.0171,38.0153,Cefalu,,2010/07/16,2010/07/16,2010/07/16,Cefalu,http://www.ansa.it/web/notizie/regioni/sicilia/2010/07/16/visualizza_new.html_1853164654.html
